LAT,LON,YEAR,DOY,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M,T2M_RANGE
-33.25,20.25,2023,2,26.28,11.17,18.73,28.85,9.34,49.61,0.02,91.48,3.93,4.6,161.32,5.13,4.81,161.62,21.71
-33.25,20.75,2023,2,26.05,11.74,18.9,29.03,9.68,51.29,0.05,91.43,3.7,5.41,146.67,4.73,5.55,146.03,21.85
-33.25,21.25,2023,2,26.37,12.64,19.51,29.97,10.07,52.81,0.08,92.54,2.96,6.41,142.22,3.48,7.61,138.66,22.54
-33.25,21.75,2023,2,27.32,13.18,20.25,30.92,10.24,50.84,0.07,93.79,2.93,6.62,142.32,3.62,8.07,140.26,22.14
-32.75,16.75,2023,2,18.84,18.1,18.47,18.48,12.89,95.36,0.16,100.93,7.13,6.09,176.34,8.69,7.42,176.06,0.89
-32.75,17.25,2023,2,17.69,16.86,17.28,16.99,11.94,94.78,0.16,100.88,5.22,7.17,183.14,6.81,9.32,182.98,1.1
-32.75,17.75,2023,2,18.57,15.47,17.02,17.81,10.97,83.95,0.14,100.64,3.55,6.1,200.44,4.92,8.39,200.64,3.58
-32.75,18.25,2023,2,22.22,13.79,18.01,22.28,9.99,63,0.1,99.71,2.96,3.77,220.76,3.92,5.21,221.65,9.26
-32.75,18.75,2023,2,27.67,10.92,19.3,29.86,8.54,41,0.03,97.3,3.71,4.02,222.94,4.68,4.31,224.75,17.79
-32.75,19.25,2023,2,26.89,8.96,17.93,29.14,7.89,39.35,0.01,93,3.86,4.77,217.39,4.93,5.93,218.5,19.33
-32.75,19.75,2023,2,28.03,8.94,18.49,30.31,7.92,37.68,0,92.52,3.96,4.77,208.97,5.24,5.78,209.66,20.28
-32.75,20.25,2023,2,27.93,9.05,18.49,30.3,8.09,38.36,0,91.27,4.16,4.87,192.14,5.58,5.71,192.5,20.43
-32.75,20.75,2023,2,26.43,9.07,17.75,29.12,8.33,41.88,0.01,89,4.13,5.25,174.55,5.49,6.44,174.29,20.53
-32.75,21.25,2023,2,26.31,10.46,18.39,29.91,9.06,46.91,0.02,89.85,3.04,5.46,177,4.02,7.53,175.34,22.24
-32.75,21.75,2023,2,28.28,11.54,19.91,32.35,9.38,43.28,0.02,92.48,2.64,5.44,173.88,3.65,8.28,173.27,21.91
-32.25,16.75,2023,2,18.65,18.06,18.36,18.38,12.86,96.29,0.12,100.93,5.72,5.73,188.71,7.06,7.09,188.52,0.69
-32.25,17.25,2023,2,17.55,16.9,17.23,17.02,11.97,95.89,0.1,100.89,3.92,5.85,206.43,5.25,7.74,206.66,0.77
-32.25,17.75,2023,2,17.83,15.49,16.66,17.28,10.97,87.28,0.09,100.66,2.87,4.95,234.68,4.09,6.67,235.29,2.86
-32.25,18.25,2023,2,20.63,13.62,17.12,20.8,9.86,68.26,0.07,99.68,2.9,3.83,253.12,3.9,4.5,254.02,8.22
-32.25,18.75,2023,2,26.39,10.49,18.44,28.43,8.3,41.53,0.02,97.06,3.4,4.46,222.5,4.18,3.66,223.72,17.32
-32.25,19.25,2023,2,27.96,8.85,18.41,30.32,7.64,35.68,0,94.57,3.88,5.05,225.18,5.03,5.41,226.59,18.62
-32.25,19.75,2023,2,29,8.01,18.5,31.36,7.33,32.25,0,93.06,4.08,5.21,217.18,5.41,5.73,218.41,19.36
-32.25,20.25,2023,2,28.2,7.38,17.79,30.57,7.22,32.42,0,90.47,4.27,5.27,205.89,5.71,6.21,206.49,19.43
-32.25,20.75,2023,2,26.25,7.1,16.68,28.93,7.34,35.82,0,87.47,4.34,5.21,199.26,5.81,7.04,199.03,19.47
-32.25,21.25,2023,2,25.89,8.04,16.96,29.37,7.9,40.47,0.01,87.39,3.81,4.59,205.81,5.15,7.02,205.03,20.92
-32.25,21.75,2023,2,27.45,8.78,18.12,31.44,8.12,37.52,0.02,89.09,2.93,4.13,208.11,4.05,6.88,209.58,20.54
