LAT,LON,YEAR,DOY,T2M,TS,T2M_RANGE,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
-28.25,33.25,2021,2,24.39,27.15,0.57,13.57,72.41,1.19,102.3,9.01,12.66,5.57,7.09,148,9.83,14.2,5.91,8.29,147.61
-27.75,29.75,2021,2,12.79,13.9,7.5,8.55,79.74,4.74,85.01,5.1,7.79,1.5,6.29,114.78,6.32,9.62,2.33,7.29,113.63
-27.75,30.25,2021,2,14,15.34,8.61,8.69,77.04,2.99,86.93,4.5,6.73,1.3,5.44,117.31,5.55,8.39,1.91,6.48,116.24
-27.75,30.75,2021,2,15.3,16.75,9.33,8.84,74.36,1.93,89.16,4.34,6.38,1.26,5.13,118.89,5.34,8.04,1.85,6.19,118.39
-27.75,31.25,2021,2,17.23,18.75,9.77,9.16,71.44,0.68,92.8,4.62,6.77,0.62,6.15,134.19,5.7,8.82,1.07,7.75,133.94
-27.75,31.75,2021,2,19.82,21,9.23,9.79,67.84,0.63,97.25,5.28,7.24,0.85,6.39,153.96,6.83,9.52,1.59,7.94,153.94
-27.75,32.25,2021,2,22.34,23.74,5.99,10.92,65.61,1.55,100.34,6.71,9.01,1.88,7.13,158.68,8.39,11.54,2.97,8.57,158.56
-27.75,32.75,2021,2,24.01,25.98,2.54,12.47,67.89,2.15,101.9,8.41,11.29,3.78,7.51,155.93,9.81,13.56,4.7,8.86,155.62
-27.75,33.25,2021,2,24.66,27.24,0.44,13.9,72.96,2.9,102.25,9.82,13.15,5.95,7.2,151,10.8,14.85,6.35,8.5,150.57
-27.25,29.75,2021,2,13.23,14.23,9.26,8.31,75.19,3.5,83.99,6.48,9.24,2.58,6.66,114.11,8.17,11.39,3.81,7.58,113.18
-27.25,30.25,2021,2,14.02,15.26,10.33,8.36,73.62,2.26,85.45,5.38,7.53,1.72,5.81,115.54,6.83,9.28,2.42,6.86,114.94
-27.25,30.75,2021,2,15.76,17.11,10.74,8.57,70.35,1.55,88.6,4.29,5.78,0.92,4.87,121.94,5.59,7.35,1.37,5.98,121.69
-27.25,31.25,2021,2,17.93,19.46,10.86,8.91,67,0.88,92.71,4.96,6.57,0.57,6,142.94,6.23,8.4,0.98,7.41,142.44
-27.25,31.75,2021,2,20.91,22.26,10.25,9.67,63.38,0.92,97.61,6.05,7.91,1.75,6.16,158.81,7.8,10.04,3.14,6.91,158.46
-27.25,32.25,2021,2,22.81,23.92,7.22,10.72,63.05,2.67,100.38,7.01,9.04,2.39,6.65,161.71,9.1,11.58,4.32,7.26,161.32
-27.25,32.75,2021,2,24.08,25.6,3.38,12.44,67.45,4.19,101.73,8.71,11.23,4.06,7.17,157.95,10.52,13.63,5.52,8.11,157.5
-27.25,33.25,2021,2,24.84,27.23,0.51,14.26,73.98,5.92,102.2,10.69,13.8,6.47,7.33,152.4,11.85,15.67,6.97,8.7,151.94
-26.75,29.75,2021,2,14.37,15.51,10.79,8.31,70.73,2.41,84.07,7.36,10.03,3.88,6.15,107.85,9.32,12.56,5.3,7.26,107.19
-26.75,30.25,2021,2,14.35,15.61,11.12,8.33,71.96,1.63,85.01,5.84,7.85,2.66,5.19,111.68,7.65,10.15,3.58,6.57,111.46
-26.75,30.75,2021,2,15.43,16.53,10.56,8.57,71.32,1.59,87.92,3.95,5.11,1.16,3.95,122.52,5.69,7.26,1.82,5.44,122.65
-26.75,31.25,2021,2,18.19,19.47,10.26,9.03,66.59,1.38,92.74,5.18,6.7,1.34,5.36,147.62,6.77,8.59,2.37,6.21,147.38
